filename,split,label
train_0.jpg,train,0
train_1.jpg,train,0
train_2.jpg,train,0
train_3.jpg,train,0
train_4.jpg,train,0
train_5.jpg,train,0
train_6.jpg,train,0
train_7.jpg,train,0
train_8.jpg,train,0
train_9.jpg,train,0
train_10.jpg,train,0
train_11.jpg,train,0
train_12.jpg,train,0
train_13.jpg,train,0
train_14.jpg,train,0
train_15.jpg,train,0
train_16.jpg,train,0
train_17.jpg,train,0
train_18.jpg,train,0
train_19.jpg,train,0
train_20.jpg,train,0
train_21.jpg,train,0
train_22.jpg,train,0
train_23.jpg,train,0
train_24.jpg,train,0
train_25.jpg,train,0
train_26.jpg,train,0
train_27.jpg,train,0
train_28.jpg,train,0
train_29.jpg,train,0
train_30.jpg,train,0
train_31.jpg,train,0
train_32.jpg,train,0
train_33.jpg,train,0
train_34.jpg,train,0
train_35.jpg,train,0
train_36.jpg,train,0
train_37.jpg,train,0
train_38.jpg,train,0
train_39.jpg,train,0
train_40.jpg,train,0
train_41.jpg,train,0
train_42.jpg,train,0
train_43.jpg,train,0
train_44.jpg,train,0
train_45.jpg,train,0
train_46.jpg,train,0
train_47.jpg,train,0
train_48.jpg,train,0
train_49.jpg,train,0
train_50.jpg,train,0
train_51.jpg,train,0
train_52.jpg,train,0
train_53.jpg,train,0
train_54.jpg,train,0
train_55.jpg,train,0
train_56.jpg,train,0
train_57.jpg,train,0
train_58.jpg,train,0
train_59.jpg,train,0
train_60.jpg,train,0
train_61.jpg,train,0
train_62.jpg,train,0
train_63.jpg,train,0
train_64.jpg,train,0
train_65.jpg,train,0
train_66.jpg,train,0
train_67.jpg,train,0
train_68.jpg,train,0
train_69.jpg,train,0
train_70.jpg,train,0
train_71.jpg,train,0
train_72.jpg,train,0
train_73.jpg,train,0
train_74.jpg,train,0
train_75.jpg,train,0
train_76.jpg,train,0
train_77.jpg,train,0
train_78.jpg,train,0
train_79.jpg,train,0
train_80.jpg,train,0
train_81.jpg,train,0
train_82.jpg,train,0
train_83.jpg,train,0
train_84.jpg,train,0
train_85.jpg,train,0
train_86.jpg,train,0
train_87.jpg,train,0
train_88.jpg,train,0
train_89.jpg,train,0
train_90.jpg,train,0
train_91.jpg,train,0
train_92.jpg,train,0
train_93.jpg,train,0
train_94.jpg,train,0
train_95.jpg,train,0
train_96.jpg,train,0
train_97.jpg,train,0
train_98.jpg,train,0
train_99.jpg,train,0
train_100.jpg,train,0
train_101.jpg,train,0
train_102.jpg,train,0
train_103.jpg,train,0
train_104.jpg,train,0
train_105.jpg,train,0
train_106.jpg,train,0
train_107.jpg,train,0
train_108.jpg,train,0
train_109.jpg,train,0
train_110.jpg,train,0
train_111.jpg,train,0
train_112.jpg,train,0
train_113.jpg,train,0
train_114.jpg,train,0
train_115.jpg,train,0
